Category;Woman;Man;Kid (GoodForKids);Morning;Noon;Evening;Culture;Leisure;Shopping;Restaurant;
activelife;0;10;;10;10;0;0;10;0;0;
afghani;5;5;;0;0;10;0;0;0;10;
african;5;10;;0;0;10;0;0;0;10;
aquariums;10;10;;10;10;0;0;10;0;0;
asianfusion;5;10;;0;10;0;0;0;0;10;
bakeries;10;10;;10;0;0;0;0;5;5;
bars;5;10;;0;0;10;0;10;0;5;
bavarian;10;10;;0;10;5;0;0;0;10;
beergarden;5;10;;0;10;0;5;10;0;10;
beerhall;5;10;;0;10;0;5;10;0;10;
bistros;10;5;;0;10;0;0;0;5;10;
breakfast_brunch;10;5;;10;0;0;0;0;0;10;
breweries;0;10;;0;10;10;5;10;0;10;
british;10;10;;10;10;0;0;0;0;10;
burgers;;;;0;10;0;0;0;0;10;
cafes;10;10;;0;10;0;0;10;0;5;
cajun;5;10;;0;0;10;0;0;0;10;
cakeshop;;;;10;10;0;0;0;10;0;
caribbean;5;10;;0;10;10;0;0;0;10;
castles;10;10;;10;10;5;10;10;0;0;
catering;10;5;;0;10;10;0;0;0;10;
chinese;5;10;;0;10;0;0;0;0;10;
chocolate;10;10;;10;10;10;0;0;5;5;
churches;10;10;;10;0;5;5;0;0;0;
cocktailbars;10;5;;0;0;10;0;10;0;5;
coffee;10;10;;10;5;0;0;10;0;5;
coffeeteasupplies;10;5;;10;10;0;0;0;10;0;
creperies;10;10;;0;10;0;0;0;0;10;
delicatessen;10;5;;0;10;0;0;0;5;5;
divebars;5;10;;0;0;10;0;10;0;5;
donuts;5;5;;5;10;0;0;0;0;5;
farmersmarket;10;5;;10;10;0;0;5;10;0;
foodstands;5;10;;0;10;10;0;0;0;10;
french;10;10;;0;5;10;0;0;0;10;
funeralservices;0;0;;0;0;0;0;0;0;0;
gardens;10;5;;10;10;0;0;10;0;0;
gastropubs;10;5;;0;10;5;0;0;0;10;
german;10;10;;0;10;10;0;0;0;10;
greek;5;10;;0;10;10;0;0;0;10;
hotdogs;5;10;;0;10;0;0;0;0;10;
icecream;;;;0;10;5;0;0;0;5;
indpak;10;10;;0;5;5;0;0;0;10;
international;10;10;;0;10;10;0;0;0;10;
italian;10;10;;0;10;10;0;0;0;10;
japanese;10;10;;0;5;10;0;0;0;10;
kebab;0;10;;0;10;5;0;0;0;10;
landmarks;10;10;;10;10;5;10;5;0;0;
lasertag;0;10;;10;10;0;0;10;0;0;
localflavor;10;10;;0;10;10;0;0;0;10;
lounges;10;10;;0;0;10;0;10;0;0;
malaysian;5;5;;0;10;5;0;0;0;10;
mediterranean;10;5;;0;10;10;0;0;0;10;
mexican;5;10;;0;10;5;0;0;0;10;
modern_european;5;5;;0;10;10;0;0;0;10;
oriental;5;10;;0;10;10;0;0;0;10;
parks;10;10;;10;10;0;0;10;0;5;
Patisserie/Cake Shop;10;5;;5;10;0;0;0;10;5;
pianobars;10;5;;0;0;10;0;10;0;5;
pizza;10;10;;0;5;10;0;0;0;10;
pretzels;5;10;;10;0;0;0;0;0;10;
publicplazas;10;10;;10;10;5;10;10;0;0;
restaurants;10;10;;0;10;10;0;0;0;10;
sandwiches;5;5;;0;10;5;0;0;0;10;
seafood;10;10;;0;10;10;0;0;0;10;
steak;10;10;;0;10;0;0;0;0;10;
surfing;5;10;;10;10;0;0;10;0;0;
sushi;10;10;;0;5;10;0;0;0;10;
tapasmallplates;5;10;;0;10;5;0;0;0;10;
tea;5;5;;0;10;0;0;10;0;5;
thai;5;5;;0;10;5;0;0;0;10;
tradamerican;5;10;;0;10;5;0;0;0;10;
turkish;5;10;;0;10;5;0;0;0;10;
vegan;10;5;;0;10;5;0;0;0;10;
vegetarian;10;5;;0;10;5;0;0;0;10;
venues;10;5;;10;10;10;5;10;5;5;
vietnamese;5;10;;0;10;5;0;0;0;10;
wine_bars;10;5;;0;0;10;5;5;5;10;
zoos;5;5;;10;10;0;10;10;0;0;